id,label,label_id,timestamp,year,month,day,year_month,source_dataset,text
80080680482123777,false,1,2011-06-13 01:14:56.710999966,2011,6,13,2011-06,twitter15,seriously racist mcdonald s sign is obviously a hoax url
80084555733803009,false,1,2011-06-13 01:30:20.642999887,2011,6,13,2011-06,twitter15,hoax mcdonald s issues official statement on racist sign updated url #seriouslymcdonalds
91728807081426944,false,1,2011-07-15 04:40:26.503999949,2011,7,15,2011-07,twitter15,#psa please do not drink any pepsi soda a worker from that company has put blood contaminated with aids inside the bottles please rt
265953285247209472,false,1,2012-11-06 23:06:19.032999992,2012,11,6,2012-11,twitter15,deep fried left wings demo crab cakes barack amole chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare rot cake
273182568298450945,false,1,2012-11-26 21:52:54.426000118,2012,11,26,2012-11,twitter15,42 million dead in bloodiest black friday weekend on record url
295152287901417472,true,0,2013-01-26 12:52:43.756999969,2013,1,26,2013-01,twitter15,#prayforchristopher 5k run well we are walking lol url
295944137948151809,false,1,2013-01-28 17:19:15.519999981,2013,1,28,2013-01,twitter15,a photo of black nurses saving the life of a kkk member url
334722003057647616,false,1,2013-05-15 17:28:39.019999981,2013,5,15,2013-05,twitter15,this is just about the weirdest fetish i ve ever heard of what was he thinking of via url
336873759271157760,true,0,2013-05-21 15:58:57.678999901,2013,5,21,2013-05,twitter15,hasan gets 278k but victims denied army benefits disgusting waste of tax garnish his wages send 2 red cross url
336913656921083904,true,0,2013-05-21 18:37:30.019999981,2013,5,21,2013-05,twitter15,fort hood shooter reportedly has drawn 278g in salary since massacre url
348203818741272576,true,0,2013-06-21 22:20:34.358999968,2013,6,21,2013-06,twitter15,outrage is an understatement irs sent 46 378 040 in refunds to 23 994 unauthorized aliens at 1 atl address url
348204426659508226,true,0,2013-06-21 22:22:59.298000097,2013,6,21,2013-06,twitter15,irs sent 46 378 040 in refunds to 23 994 unauthorized aliens at 1 atlanta address cns news url via
348209998565879810,false,1,2013-06-21 22:45:07.743999958,2013,6,21,2013-06,twitter15,paula deen forget the food network i ve already been offered a cooking show on the new fox news food channel
351767344097398785,false,1,2013-07-01 18:20:45.010999918,2013,7,1,2013-07,twitter15,expect to see russian forces at us events to provide security this is illegal under posse comitatus url
352075672543428608,false,1,2013-07-02 14:45:56.240999937,2013,7,2,2013-07,twitter15,paula deen moves to have discrimination suit dismissed just in time for her new book how to cook a jew
356268980211687424,false,1,2013-07-14 04:28:38.697000027,2013,7,14,2013-07,twitter15,obama files federal charges against george zimmerman following acquittal in shooting murder of trayvon martin url
356297080169447425,false,1,2013-07-14 06:20:18.249000072,2013,7,14,2013-07,twitter15,obama files federal charges against george zimmerman that s myyyyyyy president yaassssss praise the lord
356310469390245888,false,1,2013-07-14 07:13:30.487999916,2013,7,14,2013-07,twitter15,breaking news obama administration files federal charges against george zimmerman #ontheroadtojustice
356407105953071107,false,1,2013-07-14 13:37:30.440000057,2013,7,14,2013-07,twitter15,just in department of justice file federal charges against #georgezimmerman
356437941641416705,false,1,2013-07-14 15:40:02.240999937,2013,7,14,2013-07,twitter15,obama has filed federal charges against zimmerman for violating trayvon s civil rights god is good
357299879070023680,false,1,2013-07-17 00:45:04.138000011,2013,7,17,2013-07,twitter15,please read do not purchase koch products they re paying for zimmerman s attorney fees url
357300409292959744,false,1,2013-07-17 00:47:10.552999973,2013,7,17,2013-07,twitter15,lets start by boycotting koch industiers they paid for george zimmerman legal fees #justicefortrayvon #jurorb37 url
358591089462099968,false,1,2013-07-20 14:15:52.684999943,2013,7,20,2013-07,twitter15,this week s top story george zimmerman wins florida state lottery url
364383457545162754,false,1,2013-08-05 13:52:40.852999926,2013,8,5,2013-08,twitter15,highly radioactive water is seeping into the ocean from japan s crippled fukushima nuclear plant url
364589696573124609,false,1,2013-08-06 03:32:12.069000006,2013,8,6,2013-08,twitter15,fukushima highly radioactive water seeping into the ocean url
365052155385749505,false,1,2013-08-07 10:09:50.842000008,2013,8,7,2013-08,twitter15,revealed #fukushima leaking radioactive water for 2 years 300 tons flowing into pacific daily url
365056836476481537,false,1,2013-08-07 10:28:26.901000023,2013,8,7,2013-08,twitter15,estimated 300 tons of contaminated water leaking into pacific ocean per day from wrecked #fukushima nuclear plant url
365276206381268995,false,1,2013-08-08 01:00:08.762000084,2013,8,8,2013-08,twitter15,japan fukushima nuclear plant is leaking 80 000 gallons of radioactive water into ocean daily url
365497016098369536,false,1,2013-08-08 15:37:33.901000023,2013,8,8,2013-08,twitter15,water leaks at fukushima could contaminate entire pacific ocean url
366025766183514112,false,1,2013-08-10 02:38:37.744999886,2013,8,10,2013-08,twitter15,japanese government says fukushima nuclear plant is leaking 300 tons of radioactive water into the ocean every day url
