id,content,raw_label,label,label_id,timestamp,year,month,day,year_month,year_season,weight,source_dataset
731166399389962242,🔥ca kkk grand wizard 🔥 endorses #neverhillary #trump2016 url,unverified,rumor,1,1463158628.686,2016,5,13,2016-05,2016-02,1.0,twitter15
714598641827246081,an open letter to trump voters from his top strategist-turned-defector url via,unverified,rumor,1,1459208567.469,2016,3,28,2016-03,2016-01,1.0,twitter15
691809004356501505,"""america is a nation of second chances"" — on new reforms to solitary confinement: url url",non-rumor,truth,0,1453775094.485,2016,1,26,2016-01,2016-01,1.0,twitter15
693204708933160960,"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: url url",non-rumor,truth,0,1454107856.387,2016,1,29,2016-01,2016-01,1.0,twitter15
551099691702956032,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. url,true,truth,0,1420227380.096,2015,1,2,2015-01,2015-01,1.0,twitter15
767223774072676354,"former 3 doors down guitarist matt roberts has died at age 38, according to his father. url url",non-rumor,truth,0,1471755376.724,2016,8,21,2016-08,2016-03,1.0,twitter15
715515982584881152,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - url url,unverified,rumor,1,1459427278.549,2016,3,31,2016-03,2016-01,1.0,twitter15
514106273852174337,just in: missing afghan soldiers found trying to enter canada near niagara falls url url,true,truth,0,1411407461.976,2014,9,22,2014-09,2014-03,1.0,twitter15
500319801344929795,"the day #ferguson cops told a dirty, bloody lie (via ): url url",unverified,rumor,1,1408120510.79,2014,8,15,2014-08,2014-03,1.0,twitter15
495366618818830336,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.,false,rumor,1,1406939580.05,2014,8,2,2014-08,2014-03,1.0,twitter15
532206910796468224,a chick-fil-a manager allegedly banned this hilarious list of slang words url url,false,rumor,1,1415722990.117,2014,11,11,2014-11,2014-04,1.0,twitter15
560187970389819392,islamic tribunal using sharia law in texas has been confirmed url #a4a url,false,rumor,1,1422394194.587,2015,1,27,2015-01,2015-01,1.0,twitter15
531568534066057217,alpha male rt : photo of vladimir putin's motorcade. posted without comment. url,false,rumor,1,1415570789.244,2014,11,9,2014-11,2014-04,1.0,twitter15
489829414704648192,เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ url url,false,rumor,1,1405619407.713,2014,7,17,2014-07,2014-03,1.0,twitter15
524925730053181440,"shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices.",unverified,rumor,1,1413987021.35,2014,10,22,2014-10,2014-04,1.0,twitter15
766989078294306816,report: more american fifth-graders taking gap year to unwind before middle school url url,non-rumor,truth,0,1471699420.89,2016,8,20,2016-08,2016-03,1.0,twitter15
499530130487017472,a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: url,unverified,rumor,1,1407932238.586,2014,8,13,2014-08,2014-03,1.0,twitter15
520284654755381249,"report: amazon plans to open its first physical store, in new york url",false,rumor,1,1412880502.772,2014,10,9,2014-10,2014-04,1.0,twitter15
767515401831997440,"‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team url #rio2016 url",non-rumor,truth,0,1471824906.2,2016,8,22,2016-08,2016-03,1.0,twitter15
565999191982616577,"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis url",true,truth,0,1423779697.782,2015,2,12,2015-02,2015-01,1.0,twitter15
